1D BVP Box-Cox sweep (2D protocol), k=1, net=32x32x32, n_collocation=10000, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       8.0189e-08      5.1206e-08        4.9865e-06      2.1294e-06
     0.1       1.5857e-08      9.7091e-09        1.1051e-06      5.8663e-07
     0.2       8.6761e-09      5.0544e-09        4.2649e-07      1.8544e-07
     0.3       2.6205e-09      1.3652e-09        3.1447e-07      3.1583e-07
     0.4       6.4811e-10      3.2106e-10        2.8418e-07      1.3281e-07
     0.5       4.4054e-10      9.2194e-11        1.8646e-07      7.9465e-08
     0.6       1.3764e-10      7.4493e-11        1.1065e-07      1.2593e-08
     0.7       9.6338e-11      7.2579e-11        8.3197e-08      1.8538e-09
     0.8       3.8146e-10      2.1332e-10        8.8707e-08      5.2981e-09
     0.9       5.3491e-10      1.5998e-10        8.6615e-08      4.7255e-09
       1       3.2547e-10      2.3424e-10        8.3555e-08      5.8753e-09

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    3/3        8.0189e-08      5.1206e-08        4.9865e-06      2.1294e-06
     0.1    3/3        1.5857e-08      9.7091e-09        1.1051e-06      5.8663e-07
     0.2    3/3        8.6761e-09      5.0544e-09        4.2649e-07      1.8544e-07
     0.3    3/3        2.6205e-09      1.3652e-09        3.1447e-07      3.1583e-07
     0.4    3/3        6.4811e-10      3.2106e-10        2.8418e-07      1.3281e-07
     0.5    3/3        4.4054e-10      9.2194e-11        1.8646e-07      7.9465e-08
     0.6    3/3        1.3764e-10      7.4493e-11        1.1065e-07      1.2593e-08
     0.7    3/3        9.6338e-11      7.2579e-11        8.3197e-08      1.8538e-09
     0.8    3/3        3.8146e-10      2.1332e-10        8.8707e-08      5.2981e-09
     0.9    3/3        5.3491e-10      1.5998e-10        8.6615e-08      4.7255e-09
       1    3/3        3.2547e-10      2.3424e-10        8.3555e-08      5.8753e-09

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      4.2328e-08      7.3887e-06      1.0449e-05  ok
       0      43      1.5258e-07      5.3582e-06      7.5776e-06  ok
       0      44      4.5658e-08      2.2127e-06      3.1292e-06  ok
     0.1      42      2.9392e-09      3.4913e-07      4.9375e-07  ok
     0.1      43      1.8284e-08      1.7790e-06      2.5159e-06  ok
     0.1      44      2.6347e-08      1.1872e-06      1.6790e-06  ok
     0.2      42      4.1127e-09      3.7307e-07      5.2761e-07  ok
     0.2      43      6.1929e-09      2.3084e-07      3.2645e-07  ok
     0.2      44      1.5722e-08      6.7555e-07      9.5537e-07  ok
     0.3      42      3.0309e-09      7.6111e-07      1.0764e-06  ok
     0.3      43      4.0491e-09      9.3914e-08      1.3281e-07  ok
     0.3      44      7.8138e-10      8.8395e-08      1.2501e-07  ok
     0.4      42      2.0088e-10      4.0034e-07      5.6616e-07  ok
     0.4      43      9.3959e-10      3.5393e-07      5.0054e-07  ok
     0.4      44      8.0387e-10      9.8274e-08      1.3898e-07  ok
     0.5      42      3.1151e-10      2.2603e-07      3.1966e-07  ok
     0.5      43      4.8887e-10      7.5587e-08      1.0690e-07  ok
     0.5      44      5.2125e-10      2.5777e-07      3.6454e-07  ok
     0.6      42      2.0972e-10      1.1712e-07      1.6563e-07  ok
     0.6      43      3.5061e-11      9.3048e-08      1.3159e-07  ok
     0.6      44      1.6814e-10      1.2179e-07      1.7223e-07  ok
     0.7      42      1.9767e-10      8.5819e-08      1.2137e-07  ok
     0.7      43      5.9823e-11      8.1926e-08      1.1586e-07  ok
     0.7      44      3.1521e-11      8.1848e-08      1.1575e-07  ok
     0.8      42      3.1413e-10      9.5052e-08      1.3442e-07  ok
     0.8      43      6.6979e-10      8.8985e-08      1.2584e-07  ok
     0.8      44      1.6046e-10      8.2083e-08      1.1608e-07  ok
     0.9      42      6.3423e-10      9.2900e-08      1.3138e-07  ok
     0.9      43      3.0920e-10      8.1506e-08      1.1527e-07  ok
     0.9      44      6.6130e-10      8.5439e-08      1.2083e-07  ok
       1      42      6.5021e-10      9.0724e-08      1.2830e-07  ok
       1      43      2.1982e-10      8.3608e-08      1.1824e-07  ok
       1      44      1.0640e-10      7.6333e-08      1.0795e-07  ok
