1D BVP Box-Cox sweep (2D protocol), k=1, net=32x32x32, n_collocation=10000, qn=ssbroyden, line_search=armijo-maxls3-noreset, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       5.1586e-03      3.7940e-03        2.9806e-03      1.4834e-03
     0.1       1.2521e-03      1.0482e-03        1.1642e-03      5.2422e-04
     0.2       5.1908e-04      2.0832e-04        1.2409e-03      2.4901e-04
     0.3       6.8176e-04      1.6468e-04        8.7392e-04      5.9804e-04
     0.4       9.6609e-04      6.1016e-04        1.2688e-03      1.3692e-04
     0.5       1.1610e-04      7.5923e-06        2.4246e-04      3.5290e-05
     0.6       1.0929e-04      8.3003e-06        2.1913e-04      1.9132e-05
     0.7       1.0401e-04      1.2401e-05        1.9650e-04      7.0936e-06
     0.8       8.8401e-05      2.8637e-05        1.5218e-04      2.6490e-05
     0.9       1.3461e-04      7.3346e-05        2.5978e-05      9.4781e-06
       1       3.5722e-04      7.5947e-05        4.8566e-05      4.6266e-06

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    3/3        5.1586e-03      3.7940e-03        2.9806e-03      1.4834e-03
     0.1    3/3        1.2521e-03      1.0482e-03        1.1642e-03      5.2422e-04
     0.2    3/3        5.1908e-04      2.0832e-04        1.2409e-03      2.4901e-04
     0.3    3/3        6.8176e-04      1.6468e-04        8.7392e-04      5.9804e-04
     0.4    3/3        9.6609e-04      6.1016e-04        1.2688e-03      1.3692e-04
     0.5    3/3        1.1610e-04      7.5923e-06        2.4246e-04      3.5290e-05
     0.6    3/3        1.0929e-04      8.3003e-06        2.1913e-04      1.9132e-05
     0.7    3/3        1.0401e-04      1.2401e-05        1.9650e-04      7.0936e-06
     0.8    3/3        8.8401e-05      2.8637e-05        1.5218e-04      2.6490e-05
     0.9    3/3        1.3461e-04      7.3346e-05        2.5978e-05      9.4781e-06
       1    3/3        3.5722e-04      7.5947e-05        4.8566e-05      4.6266e-06

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      2.3420e-03      3.3097e-03      4.6806e-03  ok
       0      43      1.0522e-02      4.6104e-03      6.5201e-03  ok
       0      44      2.6118e-03      1.0218e-03      1.4450e-03  ok
     0.1      42      3.7882e-04      9.7933e-04      1.3850e-03  ok
     0.1      43      2.7261e-03      1.8784e-03      2.6565e-03  ok
     0.1      44      6.5124e-04      6.3493e-04      8.9792e-04  ok
     0.2      42      2.4020e-04      9.2506e-04      1.3082e-03  ok
     0.2      43      5.7626e-04      1.5337e-03      2.1690e-03  ok
     0.2      44      7.4077e-04      1.2639e-03      1.7874e-03  ok
     0.3      42      6.7389e-04      2.9020e-04      4.1040e-04  ok
     0.3      43      4.8412e-04      6.3577e-04      8.9911e-04  ok
     0.3      44      8.8727e-04      1.6958e-03      2.3982e-03  ok
     0.4      42      2.3454e-04      1.0954e-03      1.5491e-03  ok
     0.4      43      1.7282e-03      1.4301e-03      2.0224e-03  ok
     0.4      44      9.3556e-04      1.2810e-03      1.8116e-03  ok
     0.5      42      1.2666e-04      2.5565e-04      3.6154e-04  ok
     0.5      43      1.0913e-04      2.7755e-04      3.9252e-04  ok
     0.5      44      1.1252e-04      1.9418e-04      2.7462e-04  ok
     0.6      42      9.8117e-05      2.1300e-04      3.0122e-04  ok
     0.6      43      1.1799e-04      2.4502e-04      3.4650e-04  ok
     0.6      44      1.1176e-04      1.9937e-04      2.8195e-04  ok
     0.7      42      8.8622e-05      2.0019e-04      2.8311e-04  ok
     0.7      43      1.1899e-04      2.0272e-04      2.8670e-04  ok
     0.7      44      1.0442e-04      1.8657e-04      2.6385e-04  ok
     0.8      42      6.6247e-05      1.7979e-04      2.5426e-04  ok
     0.8      43      1.2884e-04      1.6030e-04      2.2669e-04  ok
     0.8      44      7.0117e-05      1.1645e-04      1.6468e-04  ok
     0.9      42      5.5165e-05      1.6088e-05      2.2753e-05  ok
     0.9      43      2.3209e-04      3.8759e-05      5.4813e-05  ok
     0.9      44      1.1658e-04      2.3087e-05      3.2650e-05  ok
       1      42      2.5082e-04      4.2868e-05      6.0624e-05  ok
       1      43      4.2311e-04      5.4200e-05      7.6650e-05  ok
       1      44      3.9774e-04      4.8629e-05      6.8771e-05  ok
