1D BVP Box-Cox sweep (2D protocol), k=1, net=32x32x32, n_collocation=10000, qn=ssbroyden, line_search=strong_wolfe, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       3.8866e-10      2.1694e-10        1.4377e-07      4.3260e-08
     0.1       3.4931e-10      2.6136e-10        1.6444e-07      1.0786e-07
     0.2       6.3367e-10      5.0764e-10        8.5386e-08      3.5749e-09
     0.3       2.9348e-10      2.8181e-11        8.1884e-08      2.5511e-09
     0.4       4.5601e-10      3.2375e-10        8.0985e-08      6.2694e-09
     0.5       1.8267e-10      1.0618e-10        7.8747e-08      1.4085e-09
     0.6       1.4211e-10      6.4604e-11        7.8914e-08      7.4135e-10
     0.7       1.1935e-10      7.3163e-11        8.0901e-08      2.4717e-09
     0.8       3.8544e-10      3.0472e-10        8.6587e-08      6.0535e-09
     0.9       5.6287e-10      1.7944e-10        9.1508e-08      5.3227e-09
       1       4.5672e-10      2.8096e-10        8.1531e-08      3.4899e-09

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    3/3        3.8866e-10      2.1694e-10        1.4377e-07      4.3260e-08
     0.1    3/3        3.4931e-10      2.6136e-10        1.6444e-07      1.0786e-07
     0.2    3/3        6.3367e-10      5.0764e-10        8.5386e-08      3.5749e-09
     0.3    3/3        2.9348e-10      2.8181e-11        8.1884e-08      2.5511e-09
     0.4    3/3        4.5601e-10      3.2375e-10        8.0985e-08      6.2694e-09
     0.5    3/3        1.8267e-10      1.0618e-10        7.8747e-08      1.4085e-09
     0.6    3/3        1.4211e-10      6.4604e-11        7.8914e-08      7.4135e-10
     0.7    3/3        1.1935e-10      7.3163e-11        8.0901e-08      2.4717e-09
     0.8    3/3        3.8544e-10      3.0472e-10        8.6587e-08      6.0535e-09
     0.9    3/3        5.6287e-10      1.7944e-10        9.1508e-08      5.3227e-09
       1    3/3        4.5672e-10      2.8096e-10        8.1531e-08      3.4899e-09

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      6.8186e-10      1.2136e-07      1.7163e-07  ok
       0      43      3.2027e-10      1.0568e-07      1.4945e-07  ok
       0      44      1.6383e-10      2.0428e-07      2.8889e-07  ok
     0.1      42      2.3449e-10      3.1659e-07      4.4773e-07  ok
     0.1      43      1.0246e-10      7.9069e-08      1.1182e-07  ok
     0.1      44      7.1099e-10      9.7646e-08      1.3809e-07  ok
     0.2      42      1.3445e-09      9.0019e-08      1.2731e-07  ok
     0.2      43      3.6544e-10      8.1316e-08      1.1500e-07  ok
     0.2      44      1.9108e-10      8.4824e-08      1.1996e-07  ok
     0.3      42      3.1997e-10      7.8279e-08      1.1070e-07  ok
     0.3      43      3.0601e-10      8.3567e-08      1.1818e-07  ok
     0.3      44      2.5444e-10      8.3807e-08      1.1852e-07  ok
     0.4      42      9.0496e-10      8.9119e-08      1.2603e-07  ok
     0.4      43      3.0937e-10      7.9971e-08      1.1310e-07  ok
     0.4      44      1.5369e-10      7.3863e-08      1.0446e-07  ok
     0.5      42      3.0248e-10      7.8801e-08      1.1144e-07  ok
     0.5      43      4.4362e-11      8.0444e-08      1.1377e-07  ok
     0.5      44      2.0116e-10      7.6996e-08      1.0889e-07  ok
     0.6      42      1.6958e-10      7.9957e-08      1.1308e-07  ok
     0.6      43      5.2914e-11      7.8300e-08      1.1073e-07  ok
     0.6      44      2.0384e-10      7.8485e-08      1.1099e-07  ok
     0.7      42      1.7532e-10      8.2823e-08      1.1713e-07  ok
     0.7      43      1.6674e-10      8.2468e-08      1.1663e-07  ok
     0.7      44      1.6004e-11      7.7411e-08      1.0948e-07  ok
     0.8      42      3.7755e-10      8.8056e-08      1.2453e-07  ok
     0.8      43      7.6252e-10      9.3157e-08      1.3174e-07  ok
     0.8      44      1.6243e-11      7.8549e-08      1.1108e-07  ok
     0.9      42      7.3051e-10      9.6256e-08      1.3613e-07  ok
     0.9      43      3.1407e-10      8.4076e-08      1.1890e-07  ok
     0.9      44      6.4404e-10      9.4193e-08      1.3321e-07  ok
       1      42      7.8925e-10      8.6281e-08      1.2202e-07  ok
       1      43      4.7878e-10      8.0315e-08      1.1358e-07  ok
       1      44      1.0211e-10      7.7996e-08      1.1030e-07  ok
