1D BVP Box-Cox sweep (2D protocol), k=4, net=20x20, n_collocation=10000, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       6.8883e+03      1.8409e+02        1.9250e+00      1.3408e-01
     0.1       4.6342e+03      3.2808e+03        1.2288e+00      8.7135e-01
     0.2       6.8874e+03      1.8408e+02        1.9249e+00      1.3664e-01
     0.3       6.8871e+03      1.8594e+02        1.9265e+00      1.3450e-01
     0.4       6.8870e+03      1.8545e+02        1.9232e+00      1.3324e-01
     0.5       6.8886e+03      1.8437e+02        1.9225e+00      1.3452e-01
     0.6       6.8859e+03      1.8391e+02        1.9214e+00      1.3280e-01
     0.7       4.6328e+03      3.2798e+03        1.2276e+00      8.7023e-01
     0.8       1.4628e-04      1.1024e-04        1.5545e-05      6.3468e-06
     0.9       4.4336e-04      5.6242e-04        5.9135e-05      5.1073e-05
       1       4.6289e-05      3.9289e-05        5.5855e-06      2.3050e-06

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    0/3               n/a             n/a               n/a             n/a
     0.1    1/3        4.8617e-05      0.0000e+00        2.5061e-05      0.0000e+00
     0.2    0/3               n/a             n/a               n/a             n/a
     0.3    0/3               n/a             n/a               n/a             n/a
     0.4    0/3               n/a             n/a               n/a             n/a
     0.5    0/3               n/a             n/a               n/a             n/a
     0.6    0/3               n/a             n/a               n/a             n/a
     0.7    1/3        4.5956e-04      0.0000e+00        4.4746e-05      0.0000e+00
     0.8    3/3        1.4628e-04      1.1024e-04        1.5545e-05      6.3468e-06
     0.9    3/3        4.4336e-04      5.6242e-04        5.9135e-05      5.1073e-05
       1    3/3        4.6289e-05      3.9289e-05        5.5855e-06      2.3050e-06

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      6.7573e+03      1.7614e+00      2.4911e+00  FAIL
       0      43      7.1486e+03      1.9238e+00      2.7207e+00  FAIL
       0      44      6.7590e+03      2.0898e+00      2.9555e+00  FAIL
     0.1      42      6.7542e+03      1.7628e+00      2.4929e+00  FAIL
     0.1      43      7.1483e+03      1.9236e+00      2.7204e+00  FAIL
     0.1      44      4.8617e-05      2.5061e-05      3.5441e-05  ok
     0.2      42      6.7543e+03      1.7609e+00      2.4903e+00  FAIL
     0.2      43      7.1477e+03      1.9182e+00      2.7127e+00  FAIL
     0.2      44      6.7602e+03      2.0954e+00      2.9634e+00  FAIL
     0.3      42      6.7523e+03      1.7688e+00      2.5014e+00  FAIL
     0.3      43      7.1501e+03      1.9133e+00      2.7058e+00  FAIL
     0.3      44      6.7591e+03      2.0974e+00      2.9662e+00  FAIL
     0.4      42      6.7525e+03      1.7649e+00      2.4959e+00  FAIL
     0.4      43      7.1492e+03      1.9138e+00      2.7066e+00  FAIL
     0.4      44      6.7593e+03      2.0909e+00      2.9569e+00  FAIL
     0.5      42      6.7561e+03      1.7618e+00      2.4915e+00  FAIL
     0.5      43      7.1494e+03      1.9146e+00      2.7077e+00  FAIL
     0.5      44      6.7604e+03      2.0910e+00      2.9571e+00  FAIL
     0.6      42      6.7519e+03      1.7646e+00      2.4955e+00  FAIL
     0.6      43      7.1460e+03      1.9103e+00      2.7016e+00  FAIL
     0.6      44      6.7599e+03      2.0893e+00      2.9547e+00  FAIL
     0.7      42      6.7517e+03      1.7656e+00      2.4969e+00  FAIL
     0.7      43      7.1467e+03      1.9172e+00      2.7114e+00  FAIL
     0.7      44      4.5956e-04      4.4746e-05      6.3280e-05  ok
     0.8      42      6.3380e-06      8.8232e-06      1.2478e-05  ok
     0.8      43      1.5673e-04      2.4057e-05      3.4022e-05  ok
     0.8      44      2.7577e-04      1.3755e-05      1.9453e-05  ok
     0.9      42      1.2386e-03      1.3130e-04      1.8568e-04  ok
     0.9      43      5.8824e-05      2.0351e-05      2.8781e-05  ok
     0.9      44      3.2658e-05      2.5757e-05      3.6426e-05  ok
       1      42      1.0131e-04      4.1908e-06      5.9267e-06  ok
       1      43      1.2079e-05      3.7313e-06      5.2769e-06  ok
       1      44      2.5477e-05      8.8344e-06      1.2494e-05  ok
