1D BVP Box-Cox sweep (2D protocol), k=4, net=32x32x32, n_collocation=10000, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       6.8869e+03      1.8548e+02        1.9264e+00      1.3621e-01
     0.1       6.8861e+03      1.8554e+02        1.9260e+00      1.3842e-01
     0.2       6.8868e+03      1.8557e+02        1.9251e+00      1.2989e-01
     0.3       6.8882e+03      1.8431e+02        1.9258e+00      1.3427e-01
     0.4       6.8892e+03      1.8353e+02        1.9239e+00      1.3629e-01
     0.5       6.8874e+03      1.8491e+02        1.9275e+00      1.3499e-01
     0.6       6.8893e+03      1.8361e+02        1.9242e+00      1.3611e-01
     0.7       4.6342e+03      3.2808e+03        1.2276e+00      8.7026e-01
     0.8       4.6340e+03      3.2807e+03        1.2277e+00      8.7032e-01
     0.9       2.5959e-05      2.2274e-05        1.2497e-05      3.9185e-06
       1       8.6684e-05      1.0203e-04        1.9729e-05      1.4064e-05

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    0/3               n/a             n/a               n/a             n/a
     0.1    0/3               n/a             n/a               n/a             n/a
     0.2    0/3               n/a             n/a               n/a             n/a
     0.3    0/3               n/a             n/a               n/a             n/a
     0.4    0/3               n/a             n/a               n/a             n/a
     0.5    0/3               n/a             n/a               n/a             n/a
     0.6    0/3               n/a             n/a               n/a             n/a
     0.7    1/3        3.5562e-04      0.0000e+00        1.0492e-04      0.0000e+00
     0.8    1/3        1.2413e-03      0.0000e+00        1.3991e-04      0.0000e+00
     0.9    3/3        2.5959e-05      2.2274e-05        1.2497e-05      3.9185e-06
       1    3/3        8.6684e-05      1.0203e-04        1.9729e-05      1.4064e-05

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      6.7526e+03      1.7639e+00      2.4945e+00  FAIL
       0      43      7.1492e+03      1.9181e+00      2.7127e+00  FAIL
       0      44      6.7589e+03      2.0972e+00      2.9659e+00  FAIL
     0.1      42      6.7522e+03      1.7593e+00      2.4880e+00  FAIL
     0.1      43      7.1485e+03      1.9204e+00      2.7159e+00  FAIL
     0.1      44      6.7577e+03      2.0982e+00      2.9673e+00  FAIL
     0.2      42      6.7520e+03      1.7691e+00      2.5019e+00  FAIL
     0.2      43      7.1492e+03      1.9192e+00      2.7141e+00  FAIL
     0.2      44      6.7593e+03      2.0871e+00      2.9516e+00  FAIL
     0.3      42      6.7552e+03      1.7645e+00      2.4954e+00  FAIL
     0.3      43      7.1489e+03      1.9196e+00      2.7147e+00  FAIL
     0.3      44      6.7607e+03      2.0932e+00      2.9602e+00  FAIL
     0.4      42      6.7592e+03      1.7590e+00      2.4876e+00  FAIL
     0.4      43      7.1487e+03      1.9200e+00      2.7152e+00  FAIL
     0.4      44      6.7596e+03      2.0927e+00      2.9596e+00  FAIL
     0.5      42      6.7533e+03      1.7648e+00      2.4958e+00  FAIL
     0.5      43      7.1488e+03      1.9223e+00      2.7185e+00  FAIL
     0.5      44      6.7599e+03      2.0953e+00      2.9632e+00  FAIL
     0.6      42      6.7594e+03      1.7599e+00      2.4889e+00  FAIL
     0.6      43      7.1490e+03      1.9196e+00      2.7148e+00  FAIL
     0.6      44      6.7596e+03      2.0932e+00      2.9602e+00  FAIL
     0.7      42      6.7538e+03      1.7639e+00      2.4945e+00  FAIL
     0.7      43      7.1487e+03      1.9188e+00      2.7135e+00  FAIL
     0.7      44      3.5562e-04      1.0492e-04      1.4838e-04  ok
     0.8      42      6.7536e+03      1.7639e+00      2.4946e+00  FAIL
     0.8      43      7.1484e+03      1.9190e+00      2.7139e+00  FAIL
     0.8      44      1.2413e-03      1.3991e-04      1.9787e-04  ok
     0.9      42      3.0957e-06      8.6744e-06      1.2267e-05  ok
     0.9      43      1.8626e-05      1.7883e-05      2.5290e-05  ok
     0.9      44      5.6156e-05      1.0934e-05      1.5463e-05  ok
       1      42      1.0869e-05      6.2459e-06      8.8331e-06  ok
       1      43      2.3091e-04      3.9134e-05      5.5343e-05  ok
       1      44      1.8271e-05      1.3809e-05      1.9528e-05  ok
