1D BVP Box-Cox sweep (2D protocol), k=4, net=32x32x32, n_collocation=10000, qn=ssbroyden, line_search=armijo, epochs=10000 (adam=2000), seeds=[42, 43, 44]
Success criterion: final relative L^2 error < 1.

== Unconditional aggregates (all seeds) ==
  lambda           mean J           std J        mean solL2       std solL2
       0       6.8880e+03      1.8440e+02        1.9239e+00      1.3180e-01
     0.1       4.6346e+03      3.2811e+03        1.2328e+00      8.7312e-01
     0.2       6.8871e+03      1.8499e+02        1.9254e+00      1.3320e-01
     0.3       4.6339e+03      3.2807e+03        1.2275e+00      8.7028e-01
     0.4       6.8881e+03      1.8419e+02        1.9243e+00      1.3563e-01
     0.5       6.8871e+03      1.8496e+02        1.9265e+00      1.3258e-01
     0.6       6.8865e+03      1.8557e+02        1.9256e+00      1.3189e-01
     0.7       6.8867e+03      1.8509e+02        1.9266e+00      1.3370e-01
     0.8       6.8864e+03      1.8566e+02        1.9237e+00      1.3351e-01
     0.9       2.2531e+03      3.1863e+03        6.9665e-01      9.8515e-01
       1       1.2432e+03      1.7582e+03        5.7916e-01      8.1901e-01

== Aggregates over successful seeds only ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2
       0    0/3               n/a             n/a               n/a             n/a
     0.1    1/3        1.5238e-02      0.0000e+00        1.1211e-03      0.0000e+00
     0.2    0/3               n/a             n/a               n/a             n/a
     0.3    1/3        1.4341e-05      0.0000e+00        2.7070e-05      0.0000e+00
     0.4    0/3               n/a             n/a               n/a             n/a
     0.5    0/3               n/a             n/a               n/a             n/a
     0.6    0/3               n/a             n/a               n/a             n/a
     0.7    0/3               n/a             n/a               n/a             n/a
     0.8    0/3               n/a             n/a               n/a             n/a
     0.9    2/3        8.7444e-04      8.7436e-04        4.0458e-05      3.9619e-05
       1    2/3        1.5668e-04      1.5650e-04        2.7527e-05      2.7095e-05

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      6.7565e+03      1.7671e+00      2.4990e+00  FAIL
       0      43      7.1488e+03      1.9150e+00      2.7082e+00  FAIL
       0      44      6.7588e+03      2.0896e+00      2.9551e+00  FAIL
     0.1      42      6.7545e+03      1.7723e+00      2.5065e+00  FAIL
     0.1      43      7.1493e+03      1.9248e+00      2.7221e+00  FAIL
     0.1      44      1.5238e-02      1.1211e-03      1.5854e-03  ok
     0.2      42      6.7533e+03      1.7656e+00      2.4970e+00  FAIL
     0.2      43      7.1487e+03      1.9189e+00      2.7137e+00  FAIL
     0.2      44      6.7593e+03      2.0917e+00      2.9581e+00  FAIL
     0.3      42      6.7525e+03      1.7634e+00      2.4939e+00  FAIL
     0.3      43      7.1492e+03      1.9191e+00      2.7140e+00  FAIL
     0.3      44      1.4341e-05      2.7070e-05      3.8283e-05  ok
     0.4      42      6.7580e+03      1.7619e+00      2.4917e+00  FAIL
     0.4      43      7.1486e+03      1.9172e+00      2.7113e+00  FAIL
     0.4      44      6.7577e+03      2.0939e+00      2.9613e+00  FAIL
     0.5      42      6.7538e+03      1.7686e+00      2.5011e+00  FAIL
     0.5      43      7.1487e+03      1.9179e+00      2.7124e+00  FAIL
     0.5      44      6.7589e+03      2.0930e+00      2.9599e+00  FAIL
     0.6      42      6.7510e+03      1.7675e+00      2.4996e+00  FAIL
     0.6      43      7.1488e+03      1.9190e+00      2.7139e+00  FAIL
     0.6      44      6.7595e+03      2.0903e+00      2.9562e+00  FAIL
     0.7      42      6.7522e+03      1.7674e+00      2.4994e+00  FAIL
     0.7      43      7.1484e+03      1.9180e+00      2.7125e+00  FAIL
     0.7      44      6.7594e+03      2.0945e+00      2.9621e+00  FAIL
     0.8      42      6.7514e+03      1.7650e+00      2.4961e+00  FAIL
     0.8      43      7.1489e+03      1.9143e+00      2.7072e+00  FAIL
     0.8      44      6.7589e+03      2.0917e+00      2.9581e+00  FAIL
     0.9      42      1.7488e-03      8.0077e-05      1.1325e-04  ok
     0.9      43      7.7710e-08      8.3936e-07      1.1870e-06  ok
     0.9      44      6.7593e+03      2.0899e+00      2.9555e+00  FAIL
       1      42      3.7297e+03      1.7374e+00      2.4571e+00  FAIL
       1      43      3.1318e-04      5.4622e-05      7.7247e-05  ok
       1      44      1.7393e-07      4.3263e-07      6.1183e-07  ok
