Fine-grained Box-Cox sweep (1D BVP, k=4, qn=ssbroyden, epochs=5000, adam=2000, seeds=[42, 43, 44, 45, 46])
Delayed engagement: transformation engages once J < 1.

  lambda             mean J           std J          mean solL2       std solL2       engaged
       0         2.1327e-02      2.7868e-02          1.7115e-03      2.1759e-03    epoch~2575
     0.1         7.0077e-03      8.8552e-03          5.8271e-04      2.7714e-04    epoch~2575
     0.2         2.4977e-02      3.7997e-02          7.5363e-04      8.6810e-04    epoch~2575
     0.3         2.9297e-02      4.8363e-02          8.9916e-04      1.1026e-03    epoch~2575
     0.4         1.7326e-02      2.7024e-02          1.1728e-03      1.5287e-03    epoch~2575
     0.5         1.0209e-02      1.9642e-02          5.5684e-04      8.1228e-04    epoch~2575
     0.6         3.3942e-03      6.2163e-03          3.0405e-04      3.4961e-04    epoch~2575
     0.7         2.3235e-03      3.0338e-03          4.5614e-04      5.5560e-04    epoch~2575
     0.8         1.0207e-03      1.4384e-03          2.9333e-04      3.5239e-04    epoch~2575
     0.9         1.3977e-03      2.4477e-03          1.4906e-04      1.7114e-04    epoch~2575
       1         8.0262e-04      1.4685e-03          7.6098e-05      9.5212e-05    epoch~2575
