Fine-grained Box-Cox sweep (1D BVP, k=4, qn=ssbroyden, epochs=5000, adam=2000, seeds=[42, 43, 44, 45, 46])
Delayed engagement: transformation engages once J < 1.
Success criterion: final relative L^2 error < 1.

== Aggregate statistics over successful seeds ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2             engaged
       0    3/5        8.4987e-03      9.9942e-03        9.8932e-04      1.8996e-04    never/from-start
     0.1    3/5        8.7083e-04      3.8494e-04        3.1625e-04      1.4570e-04    never/from-start
     0.2    3/5        1.0135e-02      1.1458e-02        2.2274e-04      3.8040e-05    never/from-start
     0.3    3/5        1.9432e-04      1.4599e-04        7.9526e-05      3.5662e-05    never/from-start
     0.4    3/5        3.6730e-04      3.4809e-04        6.8079e-05      5.2504e-05    never/from-start
     0.5    3/5        1.3853e-04      1.4823e-04        4.8489e-05      5.9866e-06    never/from-start
     0.6    3/5        1.1197e-04      1.2823e-04        4.2291e-05      4.2217e-05    never/from-start
     0.7    3/5        3.8844e-04      5.3336e-04        1.3480e-04      1.6686e-04    never/from-start
     0.8    3/5        4.8621e-05      3.7945e-05        2.3840e-05      1.0837e-05    never/from-start
     0.9    3/5        2.8615e-05      3.3195e-05        1.3981e-05      5.0405e-06    never/from-start
       1    3/5        2.4772e-05      1.7473e-05        1.8073e-05      4.7748e-06    never/from-start

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      2.2619e-02      1.0736e-03      1.5183e-03  ok
       0      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
       0      44      1.9702e-03      1.1681e-03      1.6520e-03  ok
       0      45      9.0651e-04      7.2628e-04      1.0271e-03  ok
       0      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.1      42      3.3651e-04      1.4534e-04      2.0554e-04  ok
     0.1      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.1      44      1.0477e-03      5.0139e-04      7.0907e-04  ok
     0.1      45      1.2282e-03      3.0201e-04      4.2711e-04  ok
     0.1      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.2      42      2.6194e-02      2.1181e-04      2.9954e-04  ok
     0.2      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.2      44      2.3220e-04      1.8260e-04      2.5823e-04  ok
     0.2      45      3.9785e-03      2.7383e-04      3.8725e-04  ok
     0.2      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.3      42      1.4537e-04      1.2271e-04      1.7354e-04  ok
     0.3      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.3      44      4.5081e-05      8.0486e-05      1.1382e-04  ok
     0.3      45      3.9249e-04      3.5377e-05      5.0031e-05  ok
     0.3      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.4      42      9.6459e-05      1.6289e-05      2.3036e-05  ok
     0.4      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.4      44      1.4672e-04      4.7895e-05      6.7733e-05  ok
     0.4      45      8.5872e-04      1.4005e-04      1.9807e-04  ok
     0.4      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.5      42      3.6756e-05      5.1920e-05      7.3426e-05  ok
     0.5      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.5      44      3.0696e-05      4.0070e-05      5.6668e-05  ok
     0.5      45      3.4813e-04      5.3476e-05      7.5626e-05  ok
     0.5      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.6      42      2.6888e-05      9.0982e-06      1.2867e-05  ok
     0.6      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.6      44      1.5813e-05      1.5910e-05      2.2501e-05  ok
     0.6      45      2.9320e-04      1.0187e-04      1.4406e-04  ok
     0.6      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.7      42      3.7558e-06      3.7251e-06      5.2682e-06  ok
     0.7      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.7      44      1.8877e-05      3.0411e-05      4.3008e-05  ok
     0.7      45      1.1427e-03      3.7027e-04      5.2364e-04  ok
     0.7      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.8      42      1.2206e-05      9.3285e-06      1.3192e-05  ok
     0.8      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.8      44      3.2693e-05      2.6826e-05      3.7937e-05  ok
     0.8      45      1.0096e-04      3.5365e-05      5.0014e-05  ok
     0.8      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
     0.9      42      5.3174e-06      8.8757e-06      1.2552e-05  ok
     0.9      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
     0.9      44      4.9679e-06      1.2226e-05      1.7290e-05  ok
     0.9      45      7.5559e-05      2.0842e-05      2.9475e-05  ok
     0.9      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
       1      42      1.8204e-05      1.7545e-05      2.4813e-05  ok
       1      43      9.2584e+03      1.2516e+00      1.7701e+00  FAIL
       1      44      7.4269e-06      1.2507e-05      1.7688e-05  ok
       1      45      4.8686e-05      2.4167e-05      3.4178e-05  ok
       1      46      8.8508e+03      1.1605e+00      1.6412e+00  FAIL
