Fine-grained Box-Cox sweep (1D BVP, k=4, qn=ssbroyden, epochs=5000, adam=2000, seeds=[42, 43, 44, 45, 46])
Delayed engagement: transformation engages once J < 1.
Success criterion: final relative L^2 error < 1.

== Aggregate statistics over successful seeds ==
  lambda    n_succ          mean J           std J        mean solL2       std solL2             engaged
       0    3/5        4.1016e-03      3.0333e-03        9.8932e-04      1.8996e-04          epoch~2278
     0.1    3/5        1.8662e-02      2.5107e-02        4.3229e-04      9.2177e-05          epoch~2278
     0.2    3/5        5.0916e-03      4.5289e-03        2.2274e-04      3.8040e-05          epoch~2278
     0.3    3/5        4.1723e-04      3.7280e-04        7.9526e-05      3.5662e-05          epoch~2278
     0.4    3/5        3.3152e-03      3.4586e-03        1.2791e-04      6.0987e-05          epoch~2278
     0.5    3/5        2.7088e-03      3.4116e-03        7.1577e-05      3.5502e-05          epoch~2278
     0.6    3/5        1.6578e-04      1.5810e-04        4.2291e-05      4.2217e-05          epoch~2278
     0.7    3/5        6.5471e-04      8.7815e-04        1.3480e-04      1.6686e-04          epoch~2278
     0.8    3/5        5.2806e-04      6.4294e-04        2.5260e-05      8.9589e-06          epoch~2278
     0.9    3/5        2.4661e-05      2.7468e-05        1.3981e-05      5.0405e-06          epoch~2278
       1    3/5        1.4121e-04      1.6568e-04        3.3462e-05      2.5272e-05          epoch~2278

== Per-seed final metrics (all runs, including failures) ==
  lambda    seed         final J     final solL2     final relL2  status
       0      42      8.3399e-03      1.0736e-03      1.5183e-03  ok
       0      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
       0      44      2.5562e-03      1.1681e-03      1.6520e-03  ok
       0      45      1.4087e-03      7.2628e-04      1.0271e-03  ok
       0      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.1      42      5.4167e-02      4.9347e-04      6.9787e-04  ok
     0.1      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.1      44      6.4805e-04      5.0139e-04      7.0907e-04  ok
     0.1      45      1.1691e-03      3.0201e-04      4.2711e-04  ok
     0.1      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.2      42      1.1130e-02      2.1181e-04      2.9954e-04  ok
     0.2      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.2      44      2.2352e-04      1.8260e-04      2.5823e-04  ok
     0.2      45      3.9210e-03      2.7383e-04      3.8725e-04  ok
     0.2      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.3      42      2.7767e-04      1.2271e-04      1.7354e-04  ok
     0.3      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.3      44      4.6701e-05      8.0486e-05      1.1382e-04  ok
     0.3      45      9.2731e-04      3.5377e-05      5.0031e-05  ok
     0.3      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.4      42      8.1184e-03      1.9579e-04      2.7689e-04  ok
     0.4      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.4      44      1.1364e-04      4.7895e-05      6.7733e-05  ok
     0.4      45      1.7134e-03      1.4005e-04      1.9807e-04  ok
     0.4      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.5      42      7.5228e-03      1.2118e-04      1.7138e-04  ok
     0.5      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.5      44      2.4296e-05      4.0070e-05      5.6668e-05  ok
     0.5      45      5.7921e-04      5.3476e-05      7.5626e-05  ok
     0.5      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.6      42      8.9929e-05      9.0982e-06      1.2867e-05  ok
     0.6      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.6      44      2.1551e-05      1.5910e-05      2.2501e-05  ok
     0.6      45      3.8585e-04      1.0187e-04      1.4406e-04  ok
     0.6      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.7      42      4.6856e-05      3.7251e-06      5.2682e-06  ok
     0.7      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.7      44      2.0757e-05      3.0411e-05      4.3008e-05  ok
     0.7      45      1.8965e-03      3.7027e-04      5.2365e-04  ok
     0.7      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.8      42      1.4362e-03      1.3589e-05      1.9218e-05  ok
     0.8      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.8      44      3.4907e-05      2.6826e-05      3.7937e-05  ok
     0.8      45      1.1308e-04      3.5365e-05      5.0014e-05  ok
     0.8      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
     0.9      42      6.1575e-06      8.8757e-06      1.2552e-05  ok
     0.9      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
     0.9      44      4.3336e-06      1.2226e-05      1.7290e-05  ok
     0.9      45      6.3493e-05      2.0842e-05      2.9475e-05  ok
     0.9      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
       1      42      3.7423e-04      6.7995e-05      9.6160e-05  ok
       1      43      5.7769e+03      1.2516e+00      1.7701e+00  FAIL
       1      44      3.4421e-06      8.2225e-06      1.1628e-05  ok
       1      45      4.5970e-05      2.4167e-05      3.4178e-05  ok
       1      46      5.6854e+03      1.1605e+00      1.6412e+00  FAIL
