Fine-grained Box-Cox sweep (1D BVP, k=4, qn=ssbroyden, epochs=5000, adam=2000, seeds=[42, 43, 44, 45, 46])

  lambda             mean J           std J          mean solL2       std solL2       engaged
       0         1.1179e-01      9.1010e-02          5.6544e-03      3.7082e-03     epoch~683
     0.1         1.3429e-02      1.1806e-02          1.7131e-03      1.9113e-03     epoch~684
     0.2         1.6745e-02      1.8112e-02          1.3909e-03      1.1123e-03     epoch~690
     0.3         5.7372e-04      4.8721e-04          1.6877e-04      1.9076e-04     epoch~688
     0.4         2.6963e+03      5.3926e+03          1.4298e-01      2.8477e-01     epoch~692
     0.5         2.7393e+03      5.4784e+03          1.4282e-01      2.8475e-01     epoch~695
     0.6         2.7723e-01      5.4490e-01          4.9596e-03      8.3679e-03     epoch~696
     0.7         2.6955e+03      5.3911e+03          1.4278e-01      2.8532e-01     epoch~704
     0.8         2.6956e+03      5.3912e+03          1.4326e-01      2.8505e-01     epoch~706
     0.9         2.7750e+03      5.5501e+03          1.5591e-01      3.1175e-01     epoch~710
       1         8.1496e+02      1.1181e+03          1.0797e+00      1.3224e+00     epoch~712
