Optimiser comparison (1D BVP, k=4, total_epochs=-1, adam_warmup=2000, seeds=[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61])
Success criterion: final relative L^2 error < 0.01.

== Aggregate statistics over successful seeds ==
            pipeline    n_succ          mean J           std J        mean solL2       std solL2        mean relL2
                adam    0/20              n/a             n/a               n/a             n/a               n/a
           adam_bfgs    9/20       1.1374e-02      3.1720e-02        3.9870e-04      1.0520e-03        5.6384e-04
         adam_ssbfgs    9/20       2.9371e-05      6.0261e-05        1.8673e-05      1.2937e-05        2.6407e-05
      adam_ssbroyden   16/20       7.8783e-04      2.4875e-03        1.5480e-04      5.1985e-04        2.1893e-04

== Per-seed final metrics (all runs, including failures) ==
            pipeline    seed         final J     final solL2     final relL2  status
                adam      42      8.6158e+03      1.9969e+00      2.8240e+00  FAIL
                adam      43      5.6920e+03      1.9530e+00      2.7620e+00  FAIL
                adam      44      6.4068e+03      1.7425e+00      2.4642e+00  FAIL
                adam      45      5.6097e+03      1.8032e+00      2.5501e+00  FAIL
                adam      46      6.2543e+03      1.5500e+00      2.1920e+00  FAIL
                adam      47      7.1642e+03      1.4840e+00      2.0987e+00  FAIL
                adam      48      7.0719e+03      1.6057e+00      2.2709e+00  FAIL
                adam      49      7.6254e+03      1.6745e+00      2.3681e+00  FAIL
                adam      50      1.3025e+04      1.5342e+00      2.1698e+00  FAIL
                adam      51      7.2978e+03      1.5983e+00      2.2604e+00  FAIL
                adam      52      6.3226e+03      1.5899e+00      2.2485e+00  FAIL
                adam      53      6.7344e+03      1.7708e+00      2.5043e+00  FAIL
                adam      54      5.4478e+03      1.9916e+00      2.8165e+00  FAIL
                adam      55      7.2653e+03      1.7011e+00      2.4058e+00  FAIL
                adam      56      7.2124e+03      1.6475e+00      2.3299e+00  FAIL
                adam      57      7.2319e+03      1.6275e+00      2.3017e+00  FAIL
                adam      58      7.0989e+03      1.8090e+00      2.5583e+00  FAIL
                adam      59      6.9883e+03      1.6780e+00      2.3730e+00  FAIL
                adam      60      6.8025e+03      1.8286e+00      2.5860e+00  FAIL
                adam      61      8.1794e+03      1.7297e+00      2.4462e+00  FAIL
           adam_bfgs      42      4.1072e-05      4.1433e-05      5.8595e-05  ok
           adam_bfgs      43      6.5178e+03      5.8026e-01      8.2061e-01  FAIL
           adam_bfgs      44      1.4505e+03      8.0761e-01      1.1421e+00  FAIL
           adam_bfgs      45      2.7969e+03      2.3978e+00      3.3910e+00  FAIL
           adam_bfgs      46      1.0109e-01      3.3737e-03      4.7711e-03  ok
           adam_bfgs      47      6.8897e+03      1.8167e+00      2.5692e+00  FAIL
           adam_bfgs      48      6.1827e+03      2.2219e+00      3.1422e+00  FAIL
           adam_bfgs      49      8.4433e+03      2.4099e+00      3.4081e+00  FAIL
           adam_bfgs      50      2.9075e-05      5.0596e-05      7.1553e-05  ok
           adam_bfgs      51      4.6289e-04      4.1632e-05      5.8877e-05  ok
           adam_bfgs      52      7.7249e+03      2.1625e+00      3.0583e+00  FAIL
