Optimiser comparison (1D BVP, k=4, total_epochs=-1, adam_warmup=2000, seeds=[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61])
Success criterion: final relative L^2 error < 0.01.

== Aggregate statistics over successful seeds (median / best run) ==
            pipeline    n_succ        median J           min J      median solL2       min solL2      median relL2
                adam    0/20              n/a             n/a               n/a             n/a               n/a
           adam_bfgs    4/20       6.6659e-05      2.6743e-06        9.3947e-06      3.3988e-06        1.3286e-05
         adam_ssbfgs    4/20       6.7433e-05      2.1307e-06        1.3642e-05      5.7801e-06        1.9292e-05
      adam_ssbroyden    9/20       2.3772e-04      1.1764e-06        8.8488e-05      9.5507e-06        1.2514e-04

== Per-seed final metrics (all runs, including failures) ==
            pipeline    seed         final J     final solL2     final relL2  status
                adam      42      8.6158e+03      1.9969e+00      2.8240e+00  FAIL
                adam      43      5.6920e+03      1.9530e+00      2.7620e+00  FAIL
                adam      44      6.4068e+03      1.7425e+00      2.4642e+00  FAIL
                adam      45      5.6097e+03      1.8032e+00      2.5501e+00  FAIL
                adam      46      6.2543e+03      1.5500e+00      2.1920e+00  FAIL
                adam      47      7.1642e+03      1.4840e+00      2.0987e+00  FAIL
                adam      48      7.0719e+03      1.6057e+00      2.2709e+00  FAIL
                adam      49      7.6254e+03      1.6745e+00      2.3681e+00  FAIL
                adam      50      1.3025e+04      1.5342e+00      2.1698e+00  FAIL
                adam      51      7.2978e+03      1.5983e+00      2.2604e+00  FAIL
                adam      52      6.3226e+03      1.5899e+00      2.2485e+00  FAIL
                adam      53      6.7344e+03      1.7708e+00      2.5043e+00  FAIL
                adam      54      5.4478e+03      1.9916e+00      2.8165e+00  FAIL
                adam      55      7.2653e+03      1.7011e+00      2.4058e+00  FAIL
                adam      56      7.2124e+03      1.6475e+00      2.3299e+00  FAIL
                adam      57      7.2319e+03      1.6275e+00      2.3017e+00  FAIL
                adam      58      7.0989e+03      1.8090e+00      2.5583e+00  FAIL
                adam      59      6.9883e+03      1.6780e+00      2.3730e+00  FAIL
                adam      60      6.8025e+03      1.8286e+00      2.5860e+00  FAIL
                adam      61      8.1794e+03      1.7297e+00      2.4462e+00  FAIL
           adam_bfgs      42      1.0413e+07      4.9162e+00      6.9526e+00  FAIL
           adam_bfgs      43      1.1453e+08      1.8310e+01      2.5894e+01  FAIL
           adam_bfgs      44      1.0365e+06      2.8644e+00      4.0508e+00  FAIL
           adam_bfgs      45      4.7554e+04      7.7482e+00      1.0958e+01  FAIL
           adam_bfgs      46      4.9634e+07      2.6554e+00      3.7553e+00  FAIL
           adam_bfgs      47      1.9114e+06      6.0527e+00      8.5598e+00  FAIL
           adam_bfgs      48      6.2436e+03      6.4509e+00      9.1230e+00  FAIL
           adam_bfgs      49      1.2826e+06      3.4683e+00      4.9049e+00  FAIL
           adam_bfgs      50      3.3519e+04      3.8260e+00      5.4108e+00  FAIL
           adam_bfgs      51      2.6743e-06      3.3988e-06      4.8066e-06  ok
           adam_bfgs      52      1.1402e+01      3.9217e-01      5.5461e-01  FAIL
