CFGS (current-free Grad-Shafranov) Box-Cox sweep, net=32x32x32, variant=SSBroyden2, qn_backend=inhouse (float32, Armijo), epochs=5000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       4.9630e-08      1.0599e-08        6.5090e-05      1.9024e-05
     0.1       1.2017e-08      9.1491e-09        9.0182e-05      9.1744e-05
     0.2       2.8937e-09      5.1372e-10        2.3011e-05      4.0907e-06
     0.3       1.7532e-09      4.9439e-10        2.8602e-05      1.0297e-05
     0.4       5.3788e-10      7.1086e-11        1.7228e-05      2.3330e-06
     0.5       4.7242e-10      2.0675e-10        1.5356e-05      7.9035e-06
     0.6       7.0840e-10      3.8048e-10        2.2740e-05      1.0152e-05
     0.7       2.6816e-10      1.6531e-10        1.0235e-05      7.4351e-06
     0.8       8.2211e-10      6.3413e-10        2.4247e-05      1.4526e-05
     0.9       7.6930e-10      1.4840e-10        2.5341e-05      5.5888e-06
       1       9.8481e-10      4.7371e-10        3.2303e-05      1.5038e-05
