CFGS (current-free Grad-Shafranov) Box-Cox sweep, variant=SSBroyden2, epochs=5000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       2.0487e-11      5.9789e-12        2.3635e-06      5.7895e-07
     0.1       1.9764e-11      4.7982e-12        2.9617e-06      7.0114e-07
     0.2       1.1428e-11      6.2450e-12        2.6152e-06      7.6198e-07
     0.3       2.1023e-11      1.1210e-11        2.0295e-06      5.7260e-07
     0.4       3.1491e-11      1.0158e-11        4.5714e-06      2.0961e-06
     0.5       1.0777e-10      3.6498e-11        7.9398e-06      1.4058e-06
     0.6       5.2144e-10      2.1878e-10        2.7277e-05      1.3714e-05
     0.7       2.8899e-08      2.8667e-08        5.0225e-05      1.0512e-05
     0.8       1.2394e-07      5.2641e-08        9.8891e-05      1.7942e-05
     0.9       5.0817e-07      6.5412e-08        3.0930e-04      1.3505e-04
       1       6.5014e-07      7.5518e-08        2.2245e-04      8.0575e-05
