CFGS (current-free Grad-Shafranov) Box-Cox sweep, net=32x32x32, variant=SSBroyden2, epochs=5000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       1.9037e-10      1.1431e-10        9.9114e-06      2.6063e-06
     0.1       3.9654e-11      2.4858e-11        4.6194e-06      3.4266e-06
     0.2       2.6284e-11      2.6447e-11        1.1696e-06      8.3074e-07
     0.3       1.0049e-11      8.2450e-12        1.7428e-06      3.5428e-07
     0.4       1.1808e-11      2.5551e-12        1.4856e-06      1.9708e-07
     0.5       3.1445e-11      3.3716e-11        4.6222e-06      4.4750e-06
     0.6       1.0065e-11      3.0898e-12        1.7965e-06      1.1039e-06
     0.7       1.3531e-11      3.0625e-12        2.5074e-06      1.2522e-06
     0.8       5.9317e-12      1.6287e-12        2.3195e-06      1.2181e-06
     0.9       1.2576e-11      2.3911e-12        1.7679e-06      1.4517e-06
       1       8.3522e-12      3.5030e-12        3.0887e-06      2.4865e-06
