2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, net=32x32x32, qn=bfgs, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
      -1       1.8438e-02      7.0991e-03        2.6018e-03      1.5840e-04
    -0.5       3.6128e-03      1.4973e-03        2.1680e-03      4.3897e-04
   -0.25       6.6062e-04      8.8071e-05        6.5153e-04      4.7802e-04
  -0.125       4.6005e-04      2.1219e-04        2.1366e-04      1.6939e-04
       0       1.9019e-04      3.8648e-06        7.6609e-04      5.0835e-04
   0.125       3.6194e-05      8.8635e-06        1.3507e-04      1.0443e-04
    0.25       9.9040e-06      1.6607e-06        8.3020e-05      1.4457e-06
     0.5       3.3020e-06      2.3285e-07        3.5188e-05      1.1494e-05
    0.75       3.6988e-06      1.2887e-07        3.1621e-05      2.8861e-05
       1       2.9717e-06      1.4909e-07        1.2002e-05      4.6016e-06
