2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       2.0377e-03      3.8149e-04        3.2195e-04      8.3468e-05
     0.1       1.1450e-03      4.3194e-04        1.0005e-03      6.1367e-04
     0.2       6.7597e-04      2.6284e-04        3.9136e-04      7.6325e-05
     0.3       4.7186e-04      1.5091e-04        3.2044e-04      1.9055e-04
     0.4       2.1414e-04      1.3239e-04        1.5650e-04      1.6753e-05
     0.5       9.9629e-05      1.5372e-05        1.0081e-04      3.2416e-05
     0.6       5.2350e-05      1.1615e-05        1.0723e-04      2.7662e-05
     0.7       4.3047e-05      3.7492e-06        8.3126e-05      3.6645e-05
     0.8       2.9282e-05      9.8414e-06        5.4312e-05      1.8728e-05
     0.9       3.7657e-05      6.8580e-06        6.0993e-05      3.9825e-05
       1       6.1356e-05      1.7108e-05        9.5016e-05      3.5222e-05
