2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, net=32x32x32, qn=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       5.3027e-04      1.5315e-04        7.8780e-04      5.5464e-04
     0.1       2.5385e-04      5.9824e-05        2.1357e-04      7.9309e-05
     0.2       1.1408e-04      2.7457e-05        2.8119e-04      1.5422e-04
     0.3       7.2022e-05      4.2986e-05        4.6867e-04      4.9238e-04
     0.4       2.5785e-05      2.9229e-06        1.7637e-04      2.9830e-05
     0.5       1.5406e-05      4.0596e-06        7.3715e-05      1.0427e-05
     0.6       5.8851e-06      1.0662e-06        2.8961e-05      1.6492e-05
     0.7       4.5143e-06      8.3493e-07        1.6588e-05      4.1608e-06
     0.8       5.7546e-06      1.4128e-06        3.3141e-05      1.0100e-05
     0.9       9.4839e-06      1.2418e-06        5.6764e-05      2.0301e-05
       1       1.0746e-05      1.6143e-06        1.6469e-05      3.1185e-06
