2D Helmholtz Box-Cox sweep, (a1, a2)=(1, 4), k=1, net=32x32x32, qn=ssbroyden, ls=armijo, adam_sched=plateau, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       4.8077e-06      1.9146e-07        2.4287e-05      1.6424e-05
     0.1       1.4787e-06      1.9541e-07        8.4045e-06      2.9027e-06
     0.2       8.4069e-07      1.2326e-07        1.7932e-05      5.3329e-06
     0.3       7.5330e-07      2.0070e-07        1.0022e-05      2.3715e-06
     0.4       5.2264e-07      1.0275e-07        4.2119e-06      1.9870e-06
     0.5       6.3473e-07      1.2510e-07        7.2767e-06      1.7559e-06
     0.6       5.1355e-07      1.6087e-07        1.0036e-05      3.5219e-06
     0.7       5.7320e-07      3.4338e-07        6.2727e-06      5.3595e-06
     0.8       5.3703e-07      1.7394e-07        6.7332e-06      4.1659e-06
     0.9       4.7787e-07      3.9305e-08        7.7121e-06      2.1574e-06
       1       8.3457e-07      1.3134e-07        6.9824e-06      4.2014e-06
