Vacuum Grad-Shafranov (psi=R^2) Box-Cox sweep, net=32x32x32, variant=ssbroyden, epochs=10000 (adam=2000), seeds=[42, 43, 44]

  lambda           mean J           std J        mean solL2       std solL2
       0       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.1       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.2       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.3       5.2026e-08      7.3570e-08        2.6690e-06      3.7745e-06
     0.4       4.1244e-12      1.9757e-12        0.0000e+00      0.0000e+00
     0.5       2.9344e-11      2.0535e-11        5.7732e-08      4.5214e-08
     0.6       2.3037e-07      2.2305e-07        7.9516e-06      6.0640e-06
     0.7       3.8932e-07      1.6640e-07        1.3093e-05      3.6043e-06
     0.8       3.8965e-07      1.6658e-07        1.3166e-05      3.6624e-06
     0.9       3.8965e-07      1.6658e-07        1.3166e-05      3.6621e-06
       1       4.2066e-07      1.8781e-07        1.3158e-05      3.6548e-06
